Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753173382.0312803,0.104,0.094,1.001,8.911,12.207,3.662,5.5,-1.94,-137.93,False,True
1753173382.1193001,0.0,0.067,0.997,-1.16,-5.188,-3.052,5.17,-3.11,-137.71,False,True
1753173382.224324,0.07,0.081,0.989,4.028,4.028,3.052,4.97,-2.72,-137.83,False,True
1753173382.3143442,0.057,0.057,0.992,0.061,7.69,-1.038,5.07,-2.54,-137.58,False,True
1753173382.4193687,0.037,0.088,0.995,0.366,-4.089,0.732,5.05,-2.36,-137.53,False,True
1753173382.5243928,0.054,0.081,0.993,2.808,2.747,0.916,5.23,-2.36,-137.53,False,True
1753173382.6134121,0.056,0.085,1.0,-0.305,-0.61,3.113,5.36,-2.21,-137.46,False,True
1753173382.719436,0.049,0.069,0.99,-2.258,1.77,0.793,5.36,-2.29,-137.25,False,True
1753173382.8234596,0.014,0.104,0.993,-1.221,-3.601,2.563,5.23,-2.18,-137.04,False,True
1753173382.9174807,0.07,0.078,0.962,1.587,2.93,-1.404,5.27,-2.08,-136.98,False,True
1753173383.0195038,0.011,0.1,0.983,6.104,4.517,3.723,5.55,-2.05,-136.98,False,True
1753173383.1235275,0.065,0.081,0.996,-4.883,5.188,0.183,5.5,-1.69,-136.85,False,True
1753173383.2136524,0.008,0.077,0.996,4.883,6.042,6.409,5.23,-1.88,-136.6,False,True
1753173383.3186762,0.015,0.115,0.981,1.099,-0.977,-0.488,5.32,-1.51,-136.52,False,True
1753173383.408697,0.048,0.071,0.995,9.216,11.23,-1.343,5.71,-1.18,-136.43,False,True
1753173383.513665,-0.019,0.091,0.987,-0.916,-5.127,1.282,5.86,-0.95,-136.54,False,True
1753173383.6186883,0.103,0.112,0.988,2.075,6.348,0.916,5.87,-0.85,-136.45,False,True
1753173383.7087088,-0.033,0.072,0.998,3.54,8.057,0.305,5.89,-1.12,-136.36,False,True
1753173383.8137321,0.016,0.118,1.01,1.16,1.831,-0.854,6.15,-0.34,-136.51,False,True
1753173383.918756,0.016,0.145,1.007,21.179,-10.803,-17.273,6.54,-0.35,-136.16,False,True
1753173384.0153337,0.148,0.161,0.956,-11.658,-14.771,-48.889,8.51,-1.05,-140.34,False,True
1753173384.1143558,0.101,0.18,0.987,-10.193,7.751,13.733,7.78,-1.36,-140.84,False,True
1753173384.2253814,0.08,0.081,0.99,-8.667,-31.372,23.01,6.63,-2.19,-137.02,False,True
1753173384.3089683,0.146,0.127,0.985,-3.784,5.737,-7.385,6.33,-3.22,-137.32,False,True
1753173384.4139922,0.003,0.111,0.998,5.798,0.61,-0.488,6.33,-3.83,-137.43,False,True
1753173384.504014,0.078,0.092,0.994,1.038,-5.066,7.751,6.07,-3.19,-137.72,False,True
1753173384.6090426,0.075,0.108,0.993,-2.197,-1.16,-1.038,5.73,-3.69,-137.54,False,True
1753173384.7140646,0.081,0.104,0.987,5.859,-0.793,0.305,5.95,-3.81,-137.64,False,True
1753173384.8041892,0.026,0.063,1.002,-6.104,-0.061,4.578,5.83,-4.27,-137.29,False,True
1753173384.9092126,0.053,0.085,0.99,1.526,5.676,-4.211,5.77,-4.08,-137.3,False,True
1753173385.0142357,0.084,0.096,0.988,-2.808,3.479,-0.671,5.76,-3.98,-137.3,False,True
1753173385.1042626,0.041,0.072,0.99,-0.366,-0.183,-0.793,5.72,-4.07,-137.21,False,True
1753173385.2092865,0.068,0.134,1.0,2.136,-7.935,2.197,5.78,-4.31,-137.21,False,True
